# top	bottom
12.4086	10.9552
12.6196	10.1636
11.5961	12.8069
11.8486	13.6852
13.3273	12.4058
10.8035	12.7031
13.1686	11.9683
11.1626	13.9528
13.0035	11.0462
12.2380	11.8935
12.2222	12.4804
12.5108	12.1962
13.5353	10.0369
12.5734	13.3885
13.5548	12.6697
13.0266	12.0184
12.9988	13.0137
16.0011	11.0042
12.2375	12.5183
13.3485	10.2309
13.7016	9.4841
11.8598	11.0012
11.3961	12.2843
15.5836	12.0292
10.8723	13.3870
13.5799	12.5938
12.3325	12.4559
11.7826	12.3421
13.2117	12.0279
13.9545	11.4740
11.6772	13.4739
13.1055	13.0198
12.4391	13.1983
12.8424	12.5497
14.1193	11.8518
15.7103	10.2935
14.9550	13.4774
14.5544	11.8375
12.4089	12.0567
13.2229	13.4577
13.5869	13.1325
11.4748	14.3639
12.7545	12.9008
12.4099	13.9110
11.1050	13.6556
10.0636	15.4389
13.1642	12.7796
13.4035	12.6589
12.3299	14.8388
13.6507	11.9164
12.1457	13.3939
13.3635	13.1383
11.8602	14.1511
12.8741	13.0154
11.6809	14.2724
12.6614	11.4612
11.6192	12.5448
15.1880	10.7497
12.9736	11.1760
12.1944	11.5922
13.4205	11.6057
12.7557	12.9436
11.7000	12.9347
13.9986	12.6319
12.2065	11.7103
14.7330	10.7816
12.5578	11.3899
12.2230	12.1075
14.1067	12.0529
11.2526	13.0801
11.7617	13.6945
11.8948	13.1693
12.7781	12.4239
11.7177	12.3035
13.1601	11.5715
10.9208	11.9055
12.7730	12.4576
11.1448	12.8261
12.6824	12.2898
13.6085	12.7862
13.3439	11.2653
12.3905	11.8925
13.6738	10.2017
12.8349	11.8129
13.7518	13.1500
11.3559	12.2255
13.5986	12.3768
13.4136	9.3864
10.6847	13.2039
10.1804	12.9114
11.6131	11.6274
14.0239	11.7499
15.2030	12.1923
15.2632	10.3958
14.0600	11.4969
13.0729	11.8369
13.1398	11.6579
15.1321	10.3540
13.1369	12.5985
12.7180	10.9061
11.2586	11.9996
11.1729	13.2638
13.5887	12.0044
12.3626	11.4159
11.7891	11.7949
11.2765	12.8314
13.2543	11.2957
13.0399	12.7943
12.5380	11.9270
14.9411	10.6880
12.2202	11.9151
14.0448	11.4068
13.5438	11.6531
13.0588	11.3312
13.1539	11.8765
12.5605	10.4499
11.2969	12.7700
11.2288	12.3270
11.7898	11.9815
11.6921	14.5045
12.1231	13.4303
11.1468	13.1198
13.1768	13.2331
13.7610	13.0367
13.8751	10.1942
12.2230	12.1294
12.6284	12.9166
12.2677	12.0562
13.5451	13.4819
13.2183	12.5230
14.2230	14.4941
15.4280	12.1937
12.5396	14.6993
13.9270	13.5697
12.6216	13.6163
14.4626	13.8148
12.9756	11.1236
16.0954	10.5731
14.3410	11.6252
13.8708	12.8688
14.9968	14.7094
14.3885	12.7488
14.3472	10.8664
13.0141	12.7813
13.8027	12.3953
12.4600	11.5938
13.8640	10.4705
12.2792	12.9383
11.4826	12.4383
11.3551	12.7281
13.8722	12.5417
11.7884	13.8023
14.1492	13.0244
12.5169	14.0963
13.0619	12.7704
12.6880	13.5880
12.5462	12.2965
11.3853	13.1074
10.5226	13.7398
11.3158	13.1392
12.7272	11.9392
13.3396	12.1942
13.0922	14.0790
11.6545	12.6742
11.4473	12.8749
13.9535	11.6581
13.4667	12.3540
10.7184	11.3298
14.1145	12.9229
12.0162	14.8456
12.5324	12.9020
10.9544	13.4711
11.7577	12.6967
10.7274	13.0833
12.4120	12.4442
13.6334	13.3666
12.9678	11.6836
14.8410	9.7400
12.8610	13.5021
12.0736	12.4670
12.7727	12.6916
13.1581	13.0650
12.9575	11.9568
13.8278	10.3036
16.1073	10.2230
15.5401	11.3264
14.4488	12.2461
14.6402	11.5930
14.0479	10.9164
12.5179	13.3440
13.5132	11.6961
12.5856	13.2479
13.6237	9.8654
15.2220	10.2605
13.5150	12.5892
15.9521	10.9106
12.9374	12.0118
13.3721	16.0242
12.0014	12.9193
13.5318	13.6116
13.6528	12.7665
14.7963	9.9920
14.3968	11.4805
12.4048	13.3529
13.9139	12.4763
12.6292	13.6453
13.3630	13.5143
15.1686	12.2720
13.9806	10.5968
14.2369	10.9776
13.6666	11.7063
13.8465	10.9445
12.6909	11.7146
10.3022	12.7148
13.0105	11.9854
13.5806	11.5240
12.9074	13.4812
12.3410	13.8100
13.2880	10.6985
13.3644	10.3967
12.4125	11.1340
12.5722	12.1554
11.5999	12.3629
12.4554	13.1878
12.6713	13.0045
13.5286	12.3394
13.8516	11.9999
13.1916	10.9906
12.7331	13.3923
14.1933	12.7401
14.2735	11.4381
14.2043	11.9959
13.5194	13.8281
12.5784	13.8166
14.2608	13.3693
13.4690	13.4638
14.4505	13.4308
11.4133	13.4251
12.3900	14.1682
12.9869	12.5411
12.7698	11.4376
14.4455	10.1629
14.5801	12.3500
13.7056	12.4906
15.1406	12.5979
13.4815	13.8481
12.8596	13.5377
13.9231	13.3079
13.9487	12.5821
15.9846	12.3004
14.5898	12.9022
15.1118	12.1884
15.2578	11.4442
13.9635	12.6089
15.7549	10.3544
13.9031	10.6402
