# top	bottom
0.3699	0.3699
0.3939	0.3939
0.3796	0.3796
0.3818	0.3818
0.3913	0.3913
0.4222	0.4222
0.4016	0.4016
0.3829	0.3829
0.3860	0.3860
0.4176	0.4176
0.4036	0.4036
0.3892	0.3892
0.3864	0.3943
0.3895	0.3895
0.4315	0.4315
0.4321	0.4321
0.3893	0.3893
0.3999	0.3999
0.3769	0.3769
0.3961	0.3961
0.4207	0.4207
0.4116	0.4199
0.4426	0.4426
0.4539	0.4724
0.4772	0.4869
0.4710	0.4805
0.4425	0.4514
0.4685	0.4780
0.4742	0.4838
0.4514	0.4605
0.4344	0.4431
0.4334	0.4422
0.4399	0.4487
0.4328	0.4416
0.4222	0.4308
0.4667	0.4761
0.5061	0.5163
0.4936	0.4936
0.4989	0.5192
0.4537	0.4537
0.4880	0.4880
