# top	bottom
0.3269	0.3471
0.3270	0.3543
0.3259	0.3460
0.3290	0.3425
0.3242	0.3442
0.3284	0.3418
0.3278	0.3480
0.3275	0.3409
0.3242	0.3442
0.3279	0.3413
0.3294	0.3429
0.3282	0.3485
0.3222	0.3491
0.3304	0.3509
0.3251	0.3522
0.3288	0.3491
0.3330	0.3466
0.3281	0.3555
0.3290	0.3424
0.3251	0.3522
0.3228	0.3497
0.3263	0.3464
0.3257	0.3458
0.3309	0.3513
0.3321	0.3457
0.3274	0.3477
0.3286	0.3489
0.3271	0.3473
0.3310	0.3445
0.3263	0.3465
0.3317	0.3452
0.3264	0.3466
0.3320	0.3455
0.3247	0.3447
0.3261	0.3533
0.3255	0.3526
0.3329	0.3535
0.3260	0.3461
0.3276	0.3409
0.3297	0.3432
0.3304	0.3508
0.3330	0.3397
0.3291	0.3425
0.3339	0.3406
0.3245	0.3446
0.3330	0.3397
0.3261	0.3462
0.3303	0.3507
0.3294	0.3429
0.3290	0.3424
0.3253	0.3454
0.3279	0.3482
0.3335	0.3471
0.3230	0.3499
0.3352	0.3419
0.3237	0.3437
0.3259	0.3392
0.3246	0.3516
0.3222	0.3421
0.3248	0.3381
0.3265	0.3398
0.3224	0.3424
0.3317	0.3384
0.3324	0.3460
0.3291	0.3425
0.3237	0.3437
0.3269	0.3402
0.3253	0.3385
0.3286	0.3420
0.3319	0.3386
0.3320	0.3387
0.3256	0.3389
0.3270	0.3403
0.3255	0.3388
0.3285	0.3419
0.3341	0.3408
0.3268	0.3470
0.3313	0.3380
0.3340	0.3408
0.3320	0.3387
0.3245	0.3378
0.3279	0.3412
0.3255	0.3456
0.3274	0.3408
0.3319	0.3455
0.3340	0.3407
0.3305	0.3510
0.3276	0.3478
0.3297	0.3363
0.3300	0.3367
0.3265	0.3331
0.3252	0.3453
0.3227	0.3496
0.3235	0.3505
0.3263	0.3396
0.3261	0.3463
0.3252	0.3453
0.3203	0.3470
0.3312	0.3447
0.3260	0.3462
0.3264	0.3398
0.3345	0.3413
0.3221	0.3489
0.3292	0.3427
0.3288	0.3422
0.3280	0.3413
0.3198	0.3464
0.3292	0.3426
0.3241	0.3441
0.3223	0.3491
0.3273	0.3406
0.3253	0.3454
0.3225	0.3425
0.3240	0.3440
0.3241	0.3441
0.3229	0.3429
0.3295	0.3430
0.3263	0.3397
0.3225	0.3424
0.3270	0.3404
0.3276	0.3410
0.3275	0.3408
0.3330	0.3466
0.3312	0.3447
0.3208	0.3476
0.3262	0.3464
0.3281	0.3415
0.3249	0.3382
0.3316	0.3451
0.3301	0.3436
0.3364	0.3432
0.3294	0.3497
0.3337	0.3473
0.3310	0.3445
0.3347	0.3414
0.3270	0.3472
0.3275	0.3478
0.3262	0.3534
0.3294	0.3497
0.3301	0.3505
0.3304	0.3509
0.3238	0.3508
0.3241	0.3511
0.3272	0.3474
0.3257	0.3459
0.3253	0.3454
0.3223	0.3491
0.3267	0.3400
0.3273	0.3406
0.3314	0.3449
0.3299	0.3503
0.3375	0.3443
0.3256	0.3527
0.3331	0.3467
0.3268	0.3470
0.3328	0.3464
0.3310	0.3445
0.3345	0.3413
0.3272	0.3406
0.3269	0.3402
0.3286	0.3420
0.3301	0.3436
0.3307	0.3442
0.3307	0.3442
0.3289	0.3424
0.3303	0.3507
0.3319	0.3455
0.3281	0.3415
0.3274	0.3477
0.3351	0.3418
0.3283	0.3417
0.3272	0.3406
0.3241	0.3441
0.3343	0.3411
0.3198	0.3396
0.3306	0.3441
0.3246	0.3447
0.3213	0.3481
0.3313	0.3448
0.3265	0.3467
0.3243	0.3443
0.3277	0.3411
0.3311	0.3446
0.3264	0.3466
0.3202	0.3468
0.3231	0.3500
0.3263	0.3464
0.3250	0.3452
0.3246	0.3447
0.3290	0.3424
0.3273	0.3476
0.3298	0.3432
0.3246	0.3516
0.3222	0.3491
0.3283	0.3486
0.3278	0.3481
0.3274	0.3408
0.3311	0.3446
0.3260	0.3393
0.3271	0.3404
0.3335	0.3472
0.3214	0.3482
0.3307	0.3511
0.3320	0.3455
0.3277	0.3480
0.3340	0.3407
0.3355	0.3423
0.3294	0.3498
0.3261	0.3533
0.3314	0.3519
0.3251	0.3522
0.3239	0.3509
0.3253	0.3454
0.3326	0.3393
0.3310	0.3445
0.3248	0.3449
0.3286	0.3420
0.3334	0.3470
0.3212	0.3480
0.3269	0.3471
0.3291	0.3425
0.3232	0.3432
0.3233	0.3433
0.3327	0.3463
0.3301	0.3436
0.3308	0.3443
0.3255	0.3456
0.3249	0.3520
0.3287	0.3421
0.3233	0.3433
0.3255	0.3526
0.3294	0.3498
0.3323	0.3459
0.3311	0.3446
0.3313	0.3518
0.3339	0.3476
0.3304	0.3439
0.3311	0.3378
0.3334	0.3401
0.3303	0.3438
0.3234	0.3434
0.3201	0.3467
0.3239	0.3509
0.3244	0.3444
0.3227	0.3426
0.3322	0.3458
0.3292	0.3427
0.3270	0.3473
0.3305	0.3439
0.3257	0.3529
0.3313	0.3448
0.3245	0.3446
0.3233	0.3503
0.3218	0.3417
0.3191	0.3456
0.3197	0.3463
0.3257	0.3390
0.3226	0.3426
0.3266	0.3400
0.3303	0.3438
0.3249	0.3450
0.3334	0.3471
0.3319	0.3386
0.3304	0.3438
0.3289	0.3423
0.3282	0.3416
0.3274	0.3477
0.3295	0.3430
0.3235	0.3435
0.3221	0.3420
0.3248	0.3448
0.3244	0.3514
0.3324	0.3460
0.3238	0.3438
0.3273	0.3476
0.3339	0.3475
0.3306	0.3441
0.3344	0.3344
0.3329	0.3396
0.3343	0.3410
0.3246	0.3517
0.3297	0.3431
0.3328	0.3395
0.3311	0.3446
0.3293	0.3427
0.3315	0.3451
0.3271	0.3473
0.3317	0.3384
0.3289	0.3423
0.3365	0.3433
0.3301	0.3436
0.3305	0.3371
0.3240	0.3441
0.3265	0.3398
0.3261	0.3395
0.3256	0.3457
0.3310	0.3445
0.3274	0.3408
0.3279	0.3412
0.3245	0.3446
