# top	bottom
0.9095	0.9290
0.8941	0.9443
0.9134	0.9027
0.9216	0.8884
0.8973	0.9129
0.9305	0.8952
0.9002	0.9142
0.9305	0.8887
0.9040	0.9243
0.9276	0.9071
0.9175	0.9042
0.9027	0.9126
0.8839	0.9436
0.9075	0.8962
0.8886	0.9178
0.8988	0.9100
0.9076	0.8929
0.8542	0.9346
0.9194	0.8981
0.8888	0.9412
0.8842	0.9505
0.9147	0.9233
0.9231	0.9102
0.9167	0.9180
0.9309	0.8890
0.8930	0.9099
0.9068	0.9141
0.9116	0.9124
0.9118	0.8991
0.8950	0.9203
0.9254	0.8880
0.9001	0.9096
0.9223	0.8956
0.9052	0.9016
0.8825	0.9166
0.8609	0.9412
0.8754	0.8937
0.8747	0.9186
0.9066	0.9150
0.8990	0.8945
0.8959	0.9059
0.9255	0.8745
0.9027	0.9167
0.9212	0.8774
0.9146	0.8846
0.9430	0.8627
0.8979	0.8993
0.9009	0.9019
0.9131	0.8788
0.9011	0.9066
0.8999	0.8971
0.8903	0.8978
0.9202	0.8863
0.8894	0.9121
0.9245	0.8785
0.8970	0.9212
0.9162	0.9025
0.8673	0.9324
0.8986	0.9211
0.9080	0.9133
0.9016	0.9114
0.9038	0.9260
0.9294	0.8868
0.8922	0.9038
0.9096	0.9115
0.8747	0.9323
0.9147	0.9142
0.9098	0.9097
0.8882	0.9133
0.9362	0.8873
0.9245	0.8879
0.9220	0.9013
0.9034	0.9040
0.9299	0.9118
0.9000	0.9174
0.9327	0.9056
0.9022	0.9136
0.9291	0.8916
0.9109	0.9001
0.9021	0.8967
0.8992	0.9163
0.9050	0.9101
0.8901	0.9390
0.9116	0.9073
0.8957	0.8969
0.9284	0.9052
0.8854	0.9144
0.8876	0.9409
0.9363	0.8857
0.9398	0.8900
0.9251	0.9002
0.8861	0.9178
0.8694	0.9203
0.8599	0.9368
0.8876	0.9107
0.9014	0.9145
0.8890	0.9205
0.8611	0.9412
0.9069	0.8977
0.9010	0.9227
0.9282	0.9037
0.9251	0.8893
0.8835	0.9337
0.9103	0.9178
0.9237	0.9026
0.9211	0.9001
0.8871	0.9292
0.9168	0.9035
0.9085	0.9134
0.8645	0.9339
0.9056	0.9096
0.8913	0.9190
0.8902	0.9159
0.8888	0.9370
0.8963	0.9147
0.9012	0.9282
0.9199	0.9111
0.9214	0.9097
0.9078	0.9119
0.9154	0.8884
0.9108	0.8877
0.9237	0.8915
0.9022	0.8928
0.8995	0.8880
0.8746	0.9390
0.9049	0.9133
0.9016	0.8985
0.9171	0.9019
0.8976	0.8922
0.8985	0.9062
0.9044	0.8710
0.8710	0.9147
0.9088	0.8823
0.9145	0.8923
0.9211	0.8847
0.8818	0.9065
0.8976	0.9225
0.8476	0.9407
0.8856	0.9201
0.8817	0.9047
0.8735	0.8908
0.8729	0.9149
0.8753	0.9336
0.8962	0.9014
0.8892	0.9068
0.9074	0.9147
0.8814	0.9384
0.9136	0.8931
0.9195	0.9018
0.9237	0.8921
0.8853	0.9073
0.9234	0.8777
0.8709	0.9069
0.9057	0.8983
0.8939	0.9045
0.9078	0.8864
0.9139	0.9006
0.9347	0.8860
0.9306	0.8852
0.9245	0.8943
0.9031	0.9080
0.8920	0.9057
0.9000	0.8824
0.9159	0.9067
0.9230	0.8907
0.8871	0.9069
0.8900	0.9096
0.9278	0.9100
0.8930	0.9031
0.9183	0.8660
0.9109	0.9014
0.9281	0.8880
0.9083	0.9084
0.9335	0.8975
0.9007	0.9079
0.8918	0.9007
0.8962	0.9095
0.8725	0.9438
0.9092	0.9017
0.9076	0.9066
0.9108	0.9127
0.8953	0.8968
0.9020	0.9102
0.8893	0.9346
0.8526	0.9411
0.8599	0.9290
0.8843	0.9085
0.8723	0.9208
0.8903	0.9276
0.9017	0.8927
0.8971	0.9119
0.9114	0.8970
0.8842	0.9387
0.8624	0.9374
0.8863	0.9096
0.8549	0.9291
0.9020	0.9065
0.8965	0.8540
0.9227	0.8948
0.8951	0.8887
0.8929	0.8978
0.8657	0.9424
0.8747	0.9225
0.9109	0.8964
0.8950	0.9069
0.9135	0.8821
0.9158	0.8824
0.8670	0.9162
0.8797	0.9384
0.8856	0.9272
0.8899	0.9216
0.8957	0.9329
0.9021	0.9200
0.9368	0.9023
0.8991	0.9107
0.8858	0.9201
0.9079	0.9001
0.9141	0.8867
0.8943	0.9362
0.9018	0.9351
0.9071	0.9274
0.9049	0.9220
0.9156	0.9144
0.9113	0.8962
0.9046	0.9073
0.8929	0.9210
0.8950	0.9153
0.8866	0.9316
0.9038	0.8965
0.8916	0.9057
0.8744	0.9272
0.8806	0.9164
0.8974	0.8942
0.9058	0.8919
0.8832	0.8985
0.8934	0.8915
0.8904	0.8943
0.9303	0.8897
0.9206	0.8820
0.9011	0.9080
0.9027	0.9196
0.8758	0.9397
0.8668	0.9214
0.8867	0.9080
0.8634	0.9179
0.9045	0.8891
0.9044	0.8927
0.8851	0.9060
0.8853	0.9061
0.8498	0.9164
0.8786	0.9023
0.8629	0.9169
0.8623	0.9269
0.8821	0.9053
0.8469	0.9362
0.8743	0.9378
0.8867	0.9046
0.8788	0.9135
0.8810	0.9131
0.8944	0.9039
0.8784	0.9074
0.8840	0.8840
0.8961	0.8737
0.8728	0.9061
0.8982	0.8977
0.8899	0.9065
0.8668	0.9327
0.9047	0.8968
0.8809	0.9012
0.8886	0.8875
0.8814	0.9294
0.8686	0.9346
0.9063	0.8886
0.8767	0.9205
0.8849	0.9140
0.8792	0.8991
0.8854	0.9023
0.8972	0.8643
0.9132	0.8860
0.8968	0.8826
0.8711	0.9382
0.9113	0.8964
0.9356	0.8719
0.9032	0.9014
0.8829	0.9130
0.8899	0.8982
0.8794	0.9186
0.9050	0.8687
0.8948	0.9027
0.8813	0.8904
0.8736	0.9007
0.9010	0.8868
0.8838	0.9197
0.8842	0.9087
0.8982	0.9137
0.8535	0.9150
0.8820	0.8991
0.8677	0.8957
0.8826	0.8979
0.8705	0.9322
